rnd_np,rnd_ds,Average,M1,M2
137,135,0.47239552930832057,0.47870099247414205,0.47957288829222666
137,136,0.4756818666703383,0.4773110822773462,0.4799364471977734
137,137,0.46331194737686676,0.4721205186923082,0.47394087233543597
138,128,0.4846237405616443,0.48619898140608253,0.4872245157627429
138,129,0.49261847099752093,0.4960682987272381,0.4963939310525302
138,130,0.5060560005413091,0.5082676050692319,0.5080666988557709
138,131,0.483833043422333,0.49119799140803827,0.493653172404201
138,132,0.5007866648432654,0.5039176258816045,0.5053696550814016
138,133,0.4870001969855654,0.4963427509806513,0.4976098264762969
138,134,0.5120803609464667,0.5167815593712742,0.5159100771264367
138,135,0.5166585215773642,0.5239003080260971,0.5242418301507563
138,136,0.5031706351034281,0.5087535734722339,0.5104130743211587
138,137,0.49519272205864623,0.5001414435228458,0.5018099232271814
139,128,0.5172775707083564,0.5234693195774748,0.5237031274931154
139,129,0.4978454179244819,0.4972433060237512,0.4984145783934683
139,130,0.5085273609349346,0.5124491964020458,0.5131186990726441
139,131,0.5107512763786481,0.5182518648811697,0.5197122556666071
139,132,0.508969415328326,0.5118907137372981,0.512618603262873
139,133,0.5415908151366449,0.5444398960049155,0.544555214367224
139,134,0.5055901273068862,0.5105957426827259,0.5118275028525691
139,135,0.5042370276577941,0.5076676076072586,0.5070118881444203
139,136,0.5105155041209555,0.5145875213665659,0.5162959040507352
139,137,0.5340075869496507,0.5341655790333104,0.5327896009393512
140,128,0.4972955300159029,0.5018240013832255,0.5017961271303635
140,129,0.47780569829535,0.4822101938555695,0.48261199477754085
140,130,0.46697150604485804,0.47043694996676616,0.4717023095962998
140,131,0.49840907539540724,0.5058315293092261,0.5078683559638745
140,132,0.4775039882501629,0.48618320083841987,0.4885732745933867
140,133,0.47335186011479147,0.47642676969512976,0.4780010335754806
140,134,0.506924757309273,0.5093330884044027,0.5109507658235504
140,135,0.4909677526769814,0.49561737647789705,0.49656436131562254
140,136,0.4870198698057863,0.48829567841638716,0.49017007708585564
140,137,0.4743525875904303,0.48107259288126086,0.48365468447371285
141,128,0.5143300430243951,0.5193470973152474,0.5196683477732402
141,129,0.5056419449886504,0.512142388467327,0.5137090672803113
141,130,0.5128031752290887,0.5157935002570488,0.5178304979217326
141,131,0.5105299634217526,0.5142050739972054,0.5146394934460095
141,132,0.5240854281786007,0.530119043004398,0.5319717725250184
141,133,0.52564845601819,0.5316776395384996,0.5329641406396414
141,134,0.5061002787864073,0.5131277034594807,0.5157720346635772
141,135,0.5066082263515688,0.5116164983657109,0.5119861814873083
141,136,0.5081102647323134,0.5164459319498669,0.5181327853095714
141,137,0.5027230561292175,0.5052951479431226,0.5073468217914844
142,128,0.4780132764487252,0.479889910996829,0.48033689369452715
142,129,0.494040432200613,0.5004185543263493,0.5034109053887554
142,130,0.4986514940357033,0.5060889507575851,0.5079362364938805
142,131,0.49547300228822594,0.49957986932310405,0.5022546797112376
142,132,0.49662743834126194,0.500398616327274,0.5007566752877595
142,133,0.48073992135914756,0.4860434567391304,0.4843871217670405
142,134,0.493922825959499,0.49695775617337673,0.497317361747574
142,135,0.4586636475262245,0.45806827725597377,0.46440527838365264
142,136,0.4793438631051778,0.4871080326691838,0.4912612583304554
142,137,0.4781010513497884,0.48525583273847406,0.4862649890080074
143,128,0.4944456422931899,0.5007922929393127,0.5041418627381004
143,129,0.5134618998774282,0.5200903511801156,0.5216026340418096
143,130,0.5116264657335635,0.5146592593106163,0.5161169990397209
143,131,0.48833254964399353,0.49195498163569934,0.4919401901585255
143,132,0.4967250928473823,0.5031682204302406,0.5037200564942153
143,133,0.5092794455615627,0.516640023518254,0.5182329973287306
143,134,0.4831287247664312,0.4902153647564961,0.4946622782759939
143,135,0.4916374040452226,0.49708431983842294,0.4992899502203862
143,136,0.5006599043429054,0.5020936964388035,0.5029265508913696
143,137,0.48450907772240975,0.48652528588965327,0.4890888013244628
144,128,0.496223108059796,0.4980275832886439,0.4987472721427452
144,129,0.4710175107644486,0.47872180096637723,0.4805755736841594
144,130,0.48431283054678953,0.48906169417857714,0.48957298849753217
144,131,0.4743367769970065,0.47719533000765324,0.4783526425566009
144,132,0.4698846972698754,0.47169605364501044,0.47210181468766493
144,133,0.468040071019525,0.47389312898160496,0.47657430650483157
144,134,0.4730799440147275,0.47572226720493366,0.4760544778351365
144,135,0.4813706478899256,0.4858069605321977,0.48737214128552697
144,136,0.4610338250100939,0.4673766652284604,0.46863158177231173
144,137,0.46301171687160425,0.46712043319878127,0.47091576276707114
145,128,0.48664628248787134,0.4912011022777941,0.4931443755304584
145,129,0.4784472242883829,0.48276422037467714,0.4846409225357967
145,130,0.5036983381361757,0.5058799343538505,0.5061879568155151
145,131,0.48041786031943656,0.48121699967756315,0.48082753524188904
145,132,0.5028367453954841,0.5094266809073118,0.5112605304234987
145,133,0.47915325531813613,0.48245908917555563,0.4840665904957479
145,134,0.5012533069827987,0.5031716181484505,0.5043750354552575
145,135,0.4829014531025531,0.49248861728844284,0.49360724494823494
145,136,0.47317325352495737,0.4760937073264058,0.4780867338150346
145,137,0.484655252384594,0.48583869521249845,0.4875629689392794
146,128,0.5025938519109874,0.5043810508803264,0.5058999685788095
146,129,0.49992056207135815,0.5021782552441334,0.5039176809109054
146,130,0.47745066308358497,0.47992932204703875,0.48121156674360216
146,131,0.49898095062195313,0.5023702258027418,0.5045712440621132
146,132,0.4963022271212857,0.5036164291992196,0.5052835044657119
146,133,0.5233891527029197,0.5287858110864982,0.5300990857353538
146,134,0.4943587152013455,0.5003078244848095,0.5004718571621244
146,135,0.509347253472576,0.517263207232159,0.520190254997618
146,136,0.5065982697147449,0.5123475882866241,0.5141593572119572
146,137,0.5257926619803162,0.5313742134296016,0.5328516978878411
147,128,0.4837674083726629,0.4923730333284017,0.4943771425101719
147,129,0.4884750838300758,0.4938906030835858,0.4928769457680334
147,130,0.5114543554712823,0.5134202684014377,0.513300447179917
147,131,0.4840529411248383,0.488880871805706,0.49133526512849823
147,132,0.5005111263454889,0.5025753209804129,0.504216228679886
147,133,0.4749940139111512,0.4798908747815223,0.4821244305915127
147,134,0.48537035089489644,0.4910443658490439,0.4933388745884507
147,135,0.49571874327255205,0.504150077408029,0.5034203933452946
147,136,0.496160577624849,0.4995769315742861,0.4994974648669457
147,137,0.4972696403493357,0.5039240476976531,0.5070247069376531
148,128,0.4873102362381648,0.4936418107172801,0.49409972269132957
148,129,0.4996099402402657,0.49762005015850186,0.5005254405424208
148,130,0.49610809059109373,0.503750405702622,0.507110274023411
148,131,0.4864799996343451,0.4907297314957123,0.49164011134870134
148,132,0.5041937442971831,0.5036553133217933,0.5050745903825287
148,133,0.49807815826637836,0.5053068456700505,0.5068430775383779
148,134,0.4971837028544329,0.5022999593833577,0.5040511924190816
148,135,0.4952984428536684,0.506063856060152,0.504742262634631
148,136,0.48945279258138913,0.4925899631370756,0.49320054144817593
148,137,0.4894988066552422,0.49527744895997633,0.4970542336075442
149,128,0.4971743984446239,0.5073297906619101,0.5096238444182588
149,129,0.513258438350311,0.5198372613234813,0.5206203225908629
149,130,0.4885487988418407,0.49340468407807736,0.49156708092569623
149,131,0.4746369726778529,0.4851264298659978,0.48722674528203846
149,132,0.4914376413588874,0.4998202080885877,0.5005761311637027
149,133,0.4947012834153394,0.5020272727270918,0.5021761439915405
149,134,0.4752925754279416,0.48200579068608074,0.4837606429634237
149,135,0.49707757845228295,0.4993806497556924,0.49965457815525677
149,136,0.49441042858263434,0.49944047320303575,0.5006645974545995
149,137,0.4736610691423853,0.47873400764801194,0.48019751877570815
150,128,0.5064639053444582,0.5142344635310201,0.5165434759321796
150,129,0.4970381446100152,0.4978155084848507,0.49983248081961235
150,130,0.5008542146696636,0.5080923325329344,0.5122750941608016
150,131,0.5035950133356233,0.5090068198303984,0.5109278033758697
150,132,0.5029332383488325,0.5084349280367225,0.5082969312981174
150,133,0.5110940223247934,0.515651162373044,0.5185394612366313
